        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                     0.1                      -116.82858
                  0.1001                      -116.91481
                  0.1002                      -116.89812
                  0.1003                       -116.7628
                  0.1004                      -116.51893
                  0.1005                      -116.20319
                  0.1006                      -115.87761
                  0.1007                       -115.6187
                  0.1008                      -115.49118
                  0.1009                       -115.5156
                   0.101                      -115.65593
                  0.1011                      -115.83943
                  0.1012                      -115.98951
                  0.1013                      -116.04808
                  0.1014                       -115.9833
                  0.1015                      -115.79046
                  0.1016                      -115.49252
                  0.1017                      -115.14139
                  0.1018                      -114.81438
                  0.1019                      -114.59569
                   0.102                      -114.54049
                  0.1021                      -114.64316
                  0.1022                      -114.84023
                  0.1023                      -115.04471
                  0.1024                      -115.18022
                  0.1025                      -115.19676
                  0.1026                      -115.07337
                  0.1027                      -114.81768
                  0.1028                      -114.46738
                  0.1029                      -114.09167
                   0.103                      -113.78288
                  0.1031                      -113.62682
                  0.1032                      -113.65837
                  0.1033                      -113.83893
                  0.1034                      -114.08008
                  0.1035                       -114.2879
                  0.1036                      -114.39189
                  0.1037                       -114.3529
                  0.1038                      -114.16211
                  0.1039                      -113.84097
                   0.104                      -113.44428
                  0.1041                      -113.06037
                  0.1042                      -112.79414
                  0.1043                      -112.72304
                  0.1044                      -112.84987
                  0.1045                      -113.10032
                  0.1046                      -113.36792
                  0.1047                       -113.5598
                  0.1048                      -113.61581
                  0.1049                      -113.50926
                   0.105                      -113.24456
                  0.1051                      -112.85896
                  0.1052                      -112.42718
                  0.1053                      -112.05775
                  0.1054                      -111.86185
                  0.1055                      -111.89462
                  0.1056                      -112.11683
                  0.1057                      -112.42172
                  0.1058                      -112.69468
                  0.1059                      -112.85105
                   0.106                       -112.8438
                  0.1061                      -112.65961
                  0.1062                      -112.31735
                  0.1063                      -111.87277
                  0.1064                      -111.42376
                  0.1065                      -111.09769
                  0.1066                      -111.00043
                  0.1067                      -111.14856
                  0.1068                      -111.45645
                  0.1069                      -111.79428
                   0.107                      -112.04991
                  0.1071                      -112.15205
                  0.1072                      -112.06803
                  0.1073                      -111.79846
                  0.1074                      -111.37858
                  0.1075                      -110.88637
                  0.1076                      -110.44557
                  0.1077                      -110.19669
                  0.1078                      -110.22257
                  0.1079                      -110.48681
                   0.108                      -110.86133
                  0.1081                      -111.20685
                  0.1082                      -111.42267
                  0.1083                      -111.45352
                  0.1084                      -111.28137
                  0.1085                      -110.92157
                  0.1086                      -110.42871
                  0.1087                      -109.90759
                  0.1088                      -109.50853
                  0.1089                      -109.37235
                   0.109                      -109.53692
                  0.1091                      -109.90552
                  0.1092                      -110.32054
                  0.1093                      -110.64726
                  0.1094                      -110.80227
                  0.1095                      -110.74695
                  0.1096                      -110.47777
                  0.1097                       -110.0265
                  0.1098                      -109.47148
                  0.1099                       -108.9493
                    0.11                      -108.63263
                  0.1101                      -108.64096
                  0.1102                       -108.9461
                  0.1103                      -109.39577
                  0.1104                      -109.82118
                  0.1105                      -110.10349
                  0.1106                      -110.17897
                  0.1107                      -110.02501
                  0.1108                      -109.65281
                  0.1109                      -109.11354
                   0.111                      -108.51544
                  0.1111                      -108.03031
                  0.1112                      -107.84021
                  0.1113                      -108.01401
                  0.1114                      -108.44565
                  0.1115                      -108.94455
                  0.1116                      -109.34951
                  0.1117                      -109.56408
                  0.1118                      -109.54392
                  0.1119                       -109.2814
                   0.112                      -108.80363
                  0.1121                      -108.18617
                  0.1122                      -107.57446
                  0.1123                      -107.17422
                  0.1124                      -107.15145
                  0.1125                      -107.49434
                  0.1126                      -108.02382
                  0.1127                      -108.53604
                  0.1128                      -108.89154
                  0.1129                      -109.01808
                   0.113                      -108.88888
