        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                     0.1                      -99.638075
                  0.1001                      -99.615899
                  0.1002                      -99.591256
                  0.1003                      -99.564216
                  0.1004                      -99.534863
                  0.1005                      -99.503275
                  0.1006                      -99.469537
                  0.1007                      -99.433741
                  0.1008                      -99.395973
                  0.1009                       -99.35633
                   0.101                      -99.314902
                  0.1011                      -99.271787
                  0.1012                      -99.227078
                  0.1013                      -99.180872
                  0.1014                      -99.133262
                  0.1015                      -99.084345
                  0.1016                      -99.034211
                  0.1017                      -98.982955
                  0.1018                      -98.930664
                  0.1019                      -98.877428
                   0.102                      -98.823331
                  0.1021                      -98.768458
                  0.1022                      -98.712891
                  0.1023                      -98.656707
                  0.1024                      -98.599983
                  0.1025                      -98.542791
                  0.1026                      -98.485202
                  0.1027                      -98.427281
                  0.1028                      -98.369096
                  0.1029                      -98.310704
                   0.103                      -98.252167
                  0.1031                      -98.193538
                  0.1032                      -98.134872
                  0.1033                      -98.076217
                  0.1034                      -98.017619
                  0.1035                      -97.959124
                  0.1036                      -97.900773
                  0.1037                      -97.842604
                  0.1038                      -97.784653
                  0.1039                      -97.726953
                   0.104                       -97.66954
                  0.1041                      -97.612436
                  0.1042                      -97.555672
                  0.1043                      -97.499271
                  0.1044                      -97.443256
                  0.1045                      -97.387646
                  0.1046                      -97.332461
                  0.1047                      -97.277716
                  0.1048                      -97.223426
                  0.1049                      -97.169604
                   0.105                      -97.116262
                  0.1051                      -97.063408
                  0.1052                      -97.011049
                  0.1053                      -96.959194
                  0.1054                      -96.907846
                  0.1055                       -96.85701
                  0.1056                      -96.806689
                  0.1057                      -96.756881
                  0.1058                      -96.707588
                  0.1059                      -96.658812
                   0.106                      -96.610543
                  0.1061                      -96.562783
                  0.1062                      -96.515527
                  0.1063                      -96.468769
                  0.1064                      -96.422502
                  0.1065                      -96.376719
                  0.1066                      -96.331412
                  0.1067                      -96.286573
                  0.1068                      -96.242191
                  0.1069                      -96.198256
                   0.107                      -96.154757
                  0.1071                      -96.111681
                  0.1072                      -96.069018
                  0.1073                      -96.026753
                  0.1074                      -95.984873
                  0.1075                      -95.943362
                  0.1076                      -95.902206
                  0.1077                      -95.861392
                  0.1078                      -95.820901
                  0.1079                      -95.780719
                   0.108                      -95.740827
                  0.1081                       -95.70121
                  0.1082                       -95.66185
                  0.1083                      -95.622728
                  0.1084                      -95.583827
                  0.1085                      -95.545129
                  0.1086                      -95.506614
                  0.1087                      -95.468263
                  0.1088                      -95.430056
                  0.1089                      -95.391977
                   0.109                      -95.354004
                  0.1091                      -95.316115
                  0.1092                      -95.278295
                  0.1093                      -95.240521
                  0.1094                      -95.202772
                  0.1095                      -95.165032
                  0.1096                      -95.127277
                  0.1097                      -95.089488
                  0.1098                      -95.051645
                  0.1099                       -95.01373
                    0.11                      -94.975721
                  0.1101                      -94.937598
                  0.1102                      -94.899342
                  0.1103                      -94.860936
                  0.1104                      -94.822358
                  0.1105                       -94.78359
                  0.1106                      -94.744612
                  0.1107                      -94.705409
                  0.1108                      -94.665961
                  0.1109                      -94.626251
                   0.111                       -94.58626
                  0.1111                      -94.545974
                  0.1112                      -94.505376
                  0.1113                      -94.464448
                  0.1114                      -94.423177
                  0.1115                      -94.381547
                  0.1116                      -94.339545
                  0.1117                      -94.297155
                  0.1118                      -94.254367
                  0.1119                      -94.211167
                   0.112                      -94.167542
                  0.1121                      -94.123483
                  0.1122                      -94.078977
                  0.1123                      -94.034018
                  0.1124                      -93.988594
                  0.1125                      -93.942698
                  0.1126                       -93.89632
                  0.1127                      -93.849456
                  0.1128                      -93.802098
                  0.1129                      -93.754242
                   0.113                      -93.705883
                  0.1131                      -93.657017
                  0.1132                       -93.60764
                  0.1133                      -93.557751
                  0.1134                      -93.507349
                  0.1135                      -93.456432
                  0.1136                      -93.404999
                  0.1137                      -93.353053
                  0.1138                      -93.300594
                  0.1139                      -93.247625
                   0.114                      -93.194149
                  0.1141                      -93.140167
                  0.1142                      -93.085687
                  0.1143                      -93.030713
                  0.1144                      -92.975249
                  0.1145                      -92.919301
                  0.1146                      -92.862879
                  0.1147                      -92.805989
                  0.1148                      -92.748637
                  0.1149                      -92.690833
                   0.115                      -92.632587
                  0.1151                      -92.573908
                  0.1152                      -92.514804
                  0.1153                      -92.455288
                  0.1154                      -92.395371
                  0.1155                      -92.335062
                  0.1156                      -92.274375
                  0.1157                      -92.213322
                  0.1158                      -92.151912
                  0.1159                      -92.090161
                   0.116                      -92.028082
                  0.1161                      -91.965686
                  0.1162                      -91.902988
                  0.1163                          -91.84
                  0.1164                      -91.776735
                  0.1165                       -91.71321
                  0.1166                      -91.649438
                  0.1167                       -91.58543
                  0.1168                      -91.521203
                  0.1169                      -91.456771
                   0.117                      -91.392147
                  0.1171                      -91.327346
                  0.1172                       -91.26238
                  0.1173                      -91.197267
                  0.1174                      -91.132018
                  0.1175                      -91.066648
                  0.1176                       -91.00117
                  0.1177                      -90.935599
                  0.1178                       -90.86995
                  0.1179                      -90.804233
                   0.118                      -90.738464
                  0.1181                      -90.672655
                  0.1182                       -90.60682
                  0.1183                      -90.540972
                  0.1184                      -90.475124
                  0.1185                      -90.409288
                  0.1186                      -90.343476
                  0.1187                      -90.277701
                  0.1188                      -90.211974
                  0.1189                      -90.146309
                   0.119                      -90.080715
                  0.1191                      -90.015205
                  0.1192                      -89.949789
                  0.1193                      -89.884478
                  0.1194                      -89.819286
                  0.1195                      -89.754217
                  0.1196                      -89.689286
                  0.1197                      -89.624503
                  0.1198                      -89.559875
                  0.1199                      -89.495414
                    0.12                      -89.431128
                  0.1201                      -89.367025
                  0.1202                      -89.303116
                  0.1203                      -89.239409
                  0.1204                      -89.175912
                  0.1205                      -89.112632
                  0.1206                      -89.049579
                  0.1207                      -88.986758
                  0.1208                      -88.924179
                  0.1209                      -88.861849
                   0.121                      -88.799773
                  0.1211                      -88.737958
                  0.1212                      -88.676413
                  0.1213                      -88.615143
                  0.1214                      -88.554153
                  0.1215                       -88.49345
                  0.1216                       -88.43304
                  0.1217                      -88.372929
                  0.1218                      -88.313121
                  0.1219                      -88.253621
                   0.122                      -88.194436
                  0.1221                      -88.135569
                  0.1222                      -88.077026
                  0.1223                      -88.018811
                  0.1224                      -87.960927
                  0.1225                       -87.90338
                  0.1226                      -87.846174
                  0.1227                      -87.789311
                  0.1228                      -87.732797
                  0.1229                      -87.676634
                   0.123                      -87.620826
                  0.1231                      -87.565376
                  0.1232                      -87.510288
                  0.1233                      -87.455565
                  0.1234                      -87.401208
                  0.1235                      -87.347222
                  0.1236                      -87.293609
                  0.1237                       -87.24037
                  0.1238                      -87.187509
                  0.1239                      -87.135029
                   0.124                      -87.082932
                  0.1241                      -87.031217
                  0.1242                       -86.97989
                  0.1243                      -86.928951
                  0.1244                      -86.878403
                  0.1245                      -86.828246
                  0.1246                      -86.778482
                  0.1247                      -86.729114
                  0.1248                      -86.680142
                  0.1249                       -86.63157
                   0.125                      -86.583395
                  0.1251                      -86.535621
                  0.1252                      -86.488249
              0.12530001                       -86.44128
              0.12540001                      -86.394714
              0.12549999                      -86.348554
                  0.1256                      -86.302798
                  0.1257                       -86.25745
                  0.1258                       -86.21251
                  0.1259                      -86.167976
                   0.126                      -86.123853
                  0.1261                      -86.080136
              0.12620001                      -86.036831
              0.12630001                      -85.993938
              0.12639999                      -85.951454
                  0.1265                      -85.909383
                  0.1266                      -85.867722
                  0.1267                      -85.826472
                  0.1268                      -85.785636
                  0.1269                      -85.745213
                   0.127                      -85.705201
              0.12710001                      -85.665602
              0.12720001                      -85.626417
              0.12729999                      -85.587645
                  0.1274                      -85.549287
                  0.1275                      -85.511341
                  0.1276                      -85.473808
                  0.1277                      -85.436688
                  0.1278                      -85.399982
                  0.1279                      -85.363688
              0.12800001                      -85.327808
              0.12809999                      -85.292341
              0.12819999                      -85.257284
                  0.1283                      -85.222641
                  0.1284                      -85.188409
                  0.1285                       -85.15459
                  0.1286                      -85.121182
                  0.1287                      -85.088185
                  0.1288                      -85.055598
              0.12890001                      -85.023423
              0.12899999                      -84.991659
              0.12909999                      -84.960303
                  0.1292                      -84.929357
                  0.1293                      -84.898818
                  0.1294                      -84.868689
                  0.1295                      -84.838968
                  0.1296                      -84.809654
              0.12970001                      -84.780748
              0.12980001                      -84.752248
              0.12989999                      -84.724155
                    0.13                      -84.696467
                  0.1301                      -84.669182
                  0.1302                      -84.642303
                  0.1303                      -84.615827
                  0.1304                      -84.589755
                  0.1305                      -84.564086
              0.13060001                      -84.538818
              0.13070001                      -84.513952
              0.13079999                      -84.489487
                  0.1309                      -84.465421
                   0.131                      -84.441756
                  0.1311                      -84.418488
                  0.1312                      -84.395619
                  0.1313                      -84.373148
                  0.1314                      -84.351073
              0.13150001                      -84.329394
              0.13160001                       -84.30811
              0.13169999                      -84.287223
                  0.1318                      -84.266728
                  0.1319                      -84.246627
                   0.132                      -84.226917
                  0.1321                        -84.2076
                  0.1322                      -84.188674
                  0.1323                      -84.170138
              0.13240001                      -84.151992
              0.13249999                      -84.134235
              0.13259999                      -84.116866
                  0.1327                      -84.099884
                  0.1328                      -84.083288
                  0.1329                       -84.06708
                   0.133                      -84.051254
                  0.1331                      -84.035813
                  0.1332                      -84.020757
              0.13330001                      -84.006083
              0.13339999                      -83.991791
              0.13349999                      -83.977881
                  0.1336                       -83.96435
                  0.1337                      -83.951198
                  0.1338                      -83.938425
                  0.1339                       -83.92603
                   0.134                      -83.914012
              0.13410001                       -83.90237
              0.13420001                      -83.891105
              0.13429999                      -83.880214
                  0.1344                      -83.869697
                  0.1345                      -83.859553
                  0.1346                      -83.849781
                  0.1347                      -83.840379
                  0.1348                      -83.831351
                  0.1349                       -83.82269
              0.13500001                        -83.8144
              0.13510001                      -83.806475
              0.13519999                       -83.79892
                  0.1353                      -83.791731
                  0.1354                      -83.784908
                  0.1355                      -83.778449
                  0.1356                      -83.772354
                  0.1357                      -83.766622
                  0.1358                      -83.761252
              0.13590001                      -83.756244
              0.13600001                      -83.751596
              0.13609999                      -83.747309
                  0.1362                       -83.74338
                  0.1363                      -83.739809
                  0.1364                      -83.736595
                  0.1365                      -83.733737
                  0.1366                      -83.731234
                  0.1367                      -83.729086
              0.13680001                      -83.727291
              0.13689999                      -83.725851
              0.13699999                      -83.724761
                  0.1371                      -83.724022
                  0.1372                      -83.723633
                  0.1373                      -83.723592
                  0.1374                      -83.723901
                  0.1375                      -83.724557
                  0.1376                      -83.725558
              0.13770001                      -83.726906
              0.13779999                      -83.728598
              0.13789999                      -83.730634
                   0.138                      -83.733012
                  0.1381                      -83.735731
                  0.1382                      -83.738792
                  0.1383                      -83.742191
                  0.1384                       -83.74593
              0.13850001                      -83.750007
              0.13860001                      -83.754419
              0.13869999                      -83.759171
                  0.1388                      -83.764253
                  0.1389                      -83.769672
                   0.139                      -83.775422
                  0.1391                      -83.781503
                  0.1392                      -83.787915
                  0.1393                      -83.794658
              0.13940001                      -83.801728
              0.13950001                      -83.809126
              0.13959999                      -83.816852
                  0.1397                      -83.824901
                  0.1398                      -83.833274
                  0.1399                      -83.841971
                    0.14                       -83.85099
                  0.1401                      -83.860329
                  0.1402                      -83.869987
              0.14030001                      -83.879964
              0.14040001                      -83.890258
              0.14049999                       -83.90087
                  0.1406                      -83.911795
                  0.1407                      -83.923033
                  0.1408                      -83.934584
                  0.1409                      -83.946445
                   0.141                      -83.958616
                  0.1411                      -83.971097
              0.14120001                      -83.983884
              0.14129999                      -83.996978
              0.14139999                      -84.010375
                  0.1415                      -84.024075
                  0.1416                      -84.038078
                  0.1417                       -84.05238
                  0.1418                      -84.066982
                  0.1419                      -84.081881
                   0.142                      -84.097076
              0.14210001                      -84.112566
              0.14219999                      -84.128349
              0.14229999                      -84.144424
                  0.1424                      -84.160789
                  0.1425                      -84.177441
                  0.1426                       -84.19438
                  0.1427                      -84.211606
                  0.1428                      -84.229114
                  0.1429                      -84.246905
              0.14300001                      -84.264976
              0.14309999                      -84.283327
                  0.1432                      -84.301955
                  0.1433                      -84.320857
                  0.1434                      -84.340032
                  0.1435                      -84.359478
                  0.1436                      -84.379196
                  0.1437                      -84.399181
              0.14380001                      -84.419431
              0.14390001                      -84.439947
              0.14399999                      -84.460725
                  0.1441                      -84.481763
                  0.1442                      -84.503058
                  0.1443                      -84.524611
                  0.1444                      -84.546417
                  0.1445                      -84.568476
                  0.1446                      -84.590785
              0.14470001                      -84.613342
              0.14480001                      -84.636144
              0.14489999                      -84.659191
                   0.145                      -84.682477
                  0.1451                      -84.706003
                  0.1452                      -84.729767
                  0.1453                      -84.753763
                  0.1454                      -84.777991
                  0.1455                       -84.80245
              0.14560001                      -84.827135
              0.14569999                      -84.852046
              0.14579999                      -84.877177
                  0.1459                      -84.902529
                   0.146                      -84.928096
                  0.1461                      -84.953877
                  0.1462                      -84.979872
                  0.1463                      -85.006073
                  0.1464                      -85.032481
              0.14650001                      -85.059092
              0.14659999                      -85.085903
              0.14669999                      -85.112912
                  0.1468                      -85.140115
                  0.1469                      -85.167508
                   0.147                      -85.195091
                  0.1471                      -85.222858
                  0.1472                      -85.250808
                  0.1473                      -85.278936
              0.14740001                       -85.30724
              0.14749999                      -85.335717
                  0.1476                      -85.364363
                  0.1477                      -85.393174
                  0.1478                      -85.422148
                  0.1479                       -85.45128
                   0.148                      -85.480568
                  0.1481                      -85.510007
              0.14820001                      -85.539596
              0.14830001                      -85.569328
              0.14839999                      -85.599203
                  0.1485                      -85.629213
                  0.1486                      -85.659357
                  0.1487                       -85.68963
                  0.1488                       -85.72003
                  0.1489                      -85.750551
                   0.149                      -85.781189
              0.14910001                      -85.811942
              0.14920001                      -85.842804
              0.14929999                      -85.873775
                  0.1494                      -85.904843
                  0.1495                       -85.93601
                  0.1496                      -85.967271
                  0.1497                      -85.998619
                  0.1498                      -86.030052
                  0.1499                      -86.061565
              0.15000001                      -86.093154
              0.15009999                      -86.124816
              0.15019999                      -86.156542
                  0.1503                      -86.188331
                  0.1504                      -86.220178
                  0.1505                      -86.252079
                  0.1506                      -86.284027
                  0.1507                      -86.316019
                  0.1508                      -86.348051
              0.15090001                      -86.380116
              0.15099999                      -86.412213
              0.15109999                      -86.444333
                  0.1512                      -86.476475
                  0.1513                       -86.50863
                  0.1514                      -86.540797
                  0.1515                      -86.572969
                  0.1516                      -86.605142
                  0.1517                      -86.637311
              0.15180001                       -86.66947
              0.15189999                      -86.701617
                   0.152                      -86.733743
                  0.1521                      -86.765847
                  0.1522                      -86.797921
                  0.1523                      -86.829962
                  0.1524                      -86.861964
                  0.1525                      -86.893923
              0.15260001                      -86.925834
              0.15270001                      -86.957691
              0.15279999                      -86.989492
                  0.1529                      -87.021229
                   0.153                      -87.052898
                  0.1531                      -87.084493
                  0.1532                      -87.116013
                  0.1533                       -87.14745
                  0.1534                      -87.178801
              0.15350001                       -87.21006
              0.15360001                      -87.241223
              0.15369999                      -87.272287
                  0.1538                      -87.303243
                  0.1539                      -87.334091
                   0.154                      -87.364826
                  0.1541                      -87.395442
                  0.1542                      -87.425933
                  0.1543                      -87.456299
